kind	source	target	slug	status	bucket	reason	needs-review
spec	docs/plans/adr-0030-clarify-extension-boundary.md	docs/plans/active/adr-0030-clarify-extension-boundary.md	adr-0030-clarify-extension-boundary	open	active	legacy open status; review before move	true
spec	docs/plans/agent-hub.md	docs/plans/completed/agent-hub.md	agent-hub	done	completed	frontmatter status done	false
spec	docs/plans/agent-root-rename.md	docs/plans/completed/agent-root-rename.md	agent-root-rename	done	completed	frontmatter status done	false
spec	docs/plans/agent-symlink-followup.md	docs/plans/active/agent-symlink-followup.md	agent-symlink-followup	open	active	legacy open status; review before move	true
spec	docs/plans/bridge-add-background-prop-batch-spawn.md	docs/plans/active/bridge-add-background-prop-batch-spawn.md	bridge-add-background-prop-batch-spawn	open	active	legacy open status; review before move	true
spec	docs/plans/bridge-clear-background-props.md	docs/plans/active/bridge-clear-background-props.md	bridge-clear-background-props	open	active	legacy open status; review before move	true
spec	docs/plans/ah-architecture-hardening.md	docs/plans/active/ah-architecture-hardening.md	ah-architecture-hardening	active	active	frontmatter status active	false
spec	docs/plans/ah-manage-milestone.md	docs/plans/completed/ah-manage-milestone.md	ah-manage-milestone	implemented	completed	frontmatter status implemented	false
spec	docs/plans/ah-manage-spec.md	docs/plans/completed/ah-manage-spec.md	ah-manage-spec	implemented	completed	frontmatter status implemented	false
spec	docs/plans/ah-review-implementation.md	docs/plans/completed/ah-review-implementation.md	ah-review-implementation	implemented	completed	frontmatter status implemented	false
spec	docs/plans/ci-add-containerfile-smoke.md	docs/plans/active/ci-add-containerfile-smoke.md	ci-add-containerfile-smoke	open	active	legacy open status; review before move	true
spec	docs/plans/docs-add-toast-modal-guidelines.md	docs/plans/active/docs-add-toast-modal-guidelines.md	docs-add-toast-modal-guidelines	open	active	legacy open status; review before move	true
spec	docs/plans/docs-plans-lifecycle-migration.md	docs/plans/active/docs-plans-lifecycle-migration.md	docs-plans-lifecycle-migration	active	active	frontmatter status active	false
spec	docs/plans/editor-add-debug-sidebar-nav.md	docs/plans/active/editor-add-debug-sidebar-nav.md	editor-add-debug-sidebar-nav	open	active	legacy open status; review before move	true
spec	docs/plans/editor-add-debug-surface-layout.md	docs/plans/active/editor-add-debug-surface-layout.md	editor-add-debug-surface-layout	open	active	legacy open status; review before move	true
spec	docs/plans/engine-reuse-debug-cube-assets.md	docs/plans/active/engine-reuse-debug-cube-assets.md	engine-reuse-debug-cube-assets	open	active	legacy open status; review before move	true
spec	docs/plans/garden-2026-05-10.md	docs/plans/completed/garden-2026-05-10.md	garden-2026-05-10	done	completed	frontmatter status done	false
spec	docs/plans/gltf-add-axis-correction-calculator.md	docs/plans/active/gltf-add-axis-correction-calculator.md	gltf-add-axis-correction-calculator	open	active	legacy open status; review before move	true
spec	docs/plans/gltf-add-axis-primary-child-picker.md	docs/plans/active/gltf-add-axis-primary-child-picker.md	gltf-add-axis-primary-child-picker	open	active	legacy open status; review before move	true
